Desempregados,Empregados,Pensionistas,Analfabetos,1Ciclo,2Ciclo,3Ciclo,EnsinoSec,EnsinoPosSec,CursoSup,M
22,160,70,8,53,15,50,64,7,91,1
11,125,108,9,77,21,43,54,1,53,0
18,223,71,3,44,24,47,91,6,194,1
0,0,0,0,0,0,0,0,0,0,0
0,48,15,0,10,7,11,20,0,36,1
19,93,140,17,129,33,30,38,4,22,1
6,39,13,0,9,6,15,15,1,29,1
4,22,25,1,15,8,12,11,1,13,1
25,103,84,2,54,26,43,51,1,61,1
8,61,54,2,31,13,24,26,1,37,1
0,0,0,0,0,0,0,0,0,0,0
20,191,73,4,25,19,45,85,8,174,1
12,102,55,4,28,7,24,35,5,89,1
8,102,37,0,22,11,23,25,2,81,1
6,71,40,2,13,9,18,26,4,60,1
7,81,50,1,15,14,28,31,2,78,1
11,78,65,3,28,22,33,38,4,61,1
9,104,61,3,36,16,40,37,3,72,1
8,67,69,4,45,13,22,33,1,45,1
4,19,58,12,48,9,7,4,1,5,1
0,0,0,0,0,0,0,0,0,0,0
35,281,230,10,68,42,107,162,9,289,1
35,325,253,9,83,53,107,139,6,344,1
5,35,38,1,12,4,25,21,1,48,1
9,124,102,2,48,15,40,65,2,97,1
18,120,165,5,47,23,48,67,1,171,1
8,87,58,2,17,11,25,32,1,96,1
7,57,27,0,7,5,10,19,2,69,1
4,99,66,1,12,21,31,34,1,131,1
1,16,11,0,1,4,5,2,1,23,1
1,11,15,0,4,2,5,10,0,19,1
7,72,38,1,11,13,28,26,0,82,1
1,9,9,0,2,2,7,6,0,9,1
6,108,63,4,31,11,26,51,1,94,1
33,257,182,3,108,43,85,100,5,233,1
32,247,154,5,82,41,70,105,3,210,1
13,69,74,3,33,12,36,44,3,59,1
14,256,129,6,61,35,85,91,4,250,1
10,102,106,3,58,24,38,46,5,77,1
7,120,49,2,26,15,21,34,4,99,1
6,79,46,4,22,8,24,30,2,69,1
10,105,71,2,29,26,38,42,0,85,1
0,0,0,0,0,0,1,0,0,0,0
6,100,73,2,32,9,25,34,0,108,1
7,136,89,1,47,21,38,45,2,133,1
4,17,24,0,12,1,8,11,0,23,1
19,148,131,5,70,32,47,53,2,135,1
7,166,91,4,42,37,49,58,3,165,1
9,85,60,2,33,10,28,37,2,56,1
7,44,33,1,13,5,12,12,2,49,1
4,43,28,1,11,4,23,20,0,32,1
1,41,25,0,10,3,16,11,2,35,1
4,46,41,0,16,10,11,16,0,51,1
11,159,122,6,55,40,50,62,7,124,1
0,26,18,1,14,5,5,6,0,18,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
6,88,0,0,4,10,26,38,5,22,1
0,0,0,0,0,0,0,0,0,0,0
4,71,7,0,16,11,23,27,2,18,1
9,83,3,1,13,15,31,36,2,21,1
6,30,6,2,16,10,16,15,1,4,0
10,30,4,2,8,15,9,12,0,1,0
10,83,3,1,7,17,25,32,2,26,1
11,36,25,5,27,4,25,16,0,5,1
15,45,29,4,32,18,32,13,2,3,1
7,28,19,1,31,8,10,13,1,4,1
25,75,34,16,66,34,31,23,2,6,1
8,30,32,6,37,18,16,10,0,3,1
14,139,91,11,68,47,62,50,5,50,1
11,25,31,12,42,10,18,4,1,1,1
19,31,17,12,35,23,11,6,0,0,0
21,39,22,12,51,27,17,7,0,1,1
29,42,22,13,46,25,24,8,0,2,1
24,53,53,28,66,43,19,7,0,3,1
27,51,42,34,94,32,23,5,0,2,1
1,12,6,0,6,2,7,6,0,0,1
3,13,16,1,15,3,2,10,0,6,1
12,83,5,0,15,11,38,34,3,24,1
45,76,35,53,119,65,44,16,0,1,0
5,77,0,0,2,6,15,26,6,31,0
38,166,13,8,47,45,46,53,9,57,1
2,20,5,1,7,7,13,9,0,3,0
39,160,19,21,67,48,55,47,4,34,0
3,13,7,3,12,8,2,0,0,1,0
17,78,9,3,20,19,38,20,1,19,1
4,7,5,0,7,7,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0
39,20,17,20,36,19,8,4,0,0,1
6,20,9,2,12,6,13,9,1,2,1
14,30,22,18,35,26,12,2,0,1,0
10,37,32,3,38,10,12,15,1,5,1
8,37,18,2,21,16,16,12,0,1,1
2,9,7,1,5,2,6,1,1,0,1
5,23,11,0,17,13,10,5,1,2,1
7,15,8,0,10,1,10,6,0,5,1
10,62,10,2,23,18,35,24,4,4,1
43,84,22,22,88,43,42,12,2,1,0
0,4,5,4,1,3,1,1,0,0,1
7,24,49,17,40,8,12,2,1,3,1
26,40,17,12,46,27,34,11,1,1,1
15,62,35,4,50,21,28,15,0,7,0
5,14,6,0,8,8,8,4,0,3,0
40,122,40,22,81,60,60,42,7,23,1
8,72,8,0,20,12,34,22,2,15,1
7,25,17,5,23,12,11,8,0,1,1
16,101,12,2,21,20,31,47,4,24,0
14,36,43,5,42,20,19,14,0,6,1
3,16,15,0,21,7,6,6,0,0,1
3,11,5,4,15,7,2,0,0,2,0
2,3,8,0,6,1,4,1,1,1,1
0,3,7,0,9,4,0,0,0,0,1
6,20,4,3,10,8,6,3,0,1,0
1,3,4,0,2,0,1,1,1,2,1
31,183,95,1,56,38,72,96,3,108,1
6,28,27,7,29,12,11,10,1,2,1
2,6,19,2,18,2,4,2,0,1,0
10,23,23,2,27,11,13,6,0,6,1
8,113,30,7,29,22,27,25,1,64,1
9,148,23,1,21,21,30,39,4,119,1
2,6,6,0,6,0,3,4,0,3,1
0,13,3,0,0,2,5,5,0,10,0
9,104,19,2,21,14,22,35,2,77,1
6,82,19,1,12,12,8,35,0,68,1
2,42,60,4,43,9,21,15,1,16,1
10,46,68,0,52,20,22,21,1,25,1
18,164,20,0,22,19,26,45,5,134,1
15,158,50,1,27,13,29,59,5,134,1
2,46,17,2,12,0,9,24,1,27,1
11,26,51,2,31,16,21,22,0,14,1
18,56,70,3,56,19,24,38,3,24,1
11,32,31,2,25,9,15,20,1,17,1
20,206,189,23,127,37,79,76,2,116,1
8,89,51,1,10,3,19,29,0,108,1
0,0,0,0,0,0,0,0,0,0,0
13,138,49,0,13,13,31,51,2,143,1
19,163,98,2,32,15,41,70,2,156,1
3,6,1,1,1,6,3,2,0,2,0
9,115,33,2,12,15,28,53,3,110,1
15,299,35,3,24,12,35,64,6,250,1
12,126,66,8,37,16,35,45,3,93,1
9,94,42,4,39,11,32,36,3,42,1
8,95,55,5,38,26,35,36,3,39,1
15,92,81,4,40,24,31,53,2,64,1
17,169,115,22,68,40,51,57,3,100,1
6,97,46,5,26,29,29,32,6,58,1
0,11,7,0,2,2,7,3,0,7,1
23,170,109,7,59,27,51,72,9,104,1
17,139,86,10,56,34,51,62,1,74,1
18,66,60,8,55,17,28,30,2,36,1
2,38,40,2,21,13,12,23,1,21,1
5,5,2,1,3,3,3,1,0,0,0
0,32,5,4,12,9,10,5,1,3,1
5,5,5,1,6,4,5,4,0,1,0
13,62,40,4,30,10,22,34,5,31,1
19,87,42,5,43,21,27,32,1,46,0
5,14,15,0,6,1,17,9,0,13,0
6,51,40,4,28,7,20,21,1,29,1
5,40,53,4,28,10,22,29,1,29,0
13,134,86,6,64,26,52,52,5,82,1
0,0,0,0,1,0,2,0,0,0,0
4,27,6,1,8,5,7,12,3,12,1
19,120,64,4,40,12,42,49,7,76,1
30,153,81,16,53,23,50,68,6,83,1
11,123,62,2,53,17,41,63,6,45,1
25,124,70,4,59,21,58,57,7,60,1
28,221,100,16,92,45,60,90,4,103,1
19,47,41,14,41,18,15,15,2,15,0
24,180,83,6,59,30,46,76,5,110,1
8,18,36,3,22,10,13,12,0,11,1
24,111,70,9,65,32,51,51,2,46,0
6,53,42,3,26,11,27,26,1,33,0
7,67,53,1,44,21,18,25,2,38,1
16,132,65,16,67,39,43,54,7,34,1
3,33,14,0,11,6,11,12,1,15,0
37,259,177,11,136,46,102,114,7,127,1
1,9,5,0,2,1,1,2,0,9,1
30,122,80,11,72,25,52,38,1,75,1
0,7,2,2,4,1,2,1,0,1,0
19,78,42,8,40,13,21,36,1,35,0
1,4,2,1,4,1,1,1,0,0,0
47,271,212,17,141,55,113,112,5,163,1
18,72,63,4,38,15,25,41,4,46,0
17,46,32,3,33,13,24,19,1,8,1
8,23,22,3,21,5,12,11,0,6,0
2,17,15,2,10,3,5,6,0,7,1
7,55,29,2,31,13,15,22,2,22,0
21,102,74,10,57,25,38,35,5,52,1
0,0,0,0,0,0,0,0,0,0,0
18,176,141,3,75,35,70,84,4,114,1
0,0,0,0,0,0,0,0,0,0,0
3,45,52,8,35,13,28,22,0,6,1
25,238,227,4,145,55,81,110,2,132,1
9,96,56,2,11,13,34,42,1,85,1
19,186,152,3,65,21,64,84,3,186,1
14,17,10,3,12,9,11,9,0,2,0
4,14,12,1,12,9,4,1,1,2,0
12,51,37,5,38,20,29,22,2,10,1
12,35,34,2,40,16,23,13,0,2,1
4,22,13,2,12,16,7,3,0,2,1
30,194,96,8,78,29,61,84,2,103,1
8,123,4,0,3,2,16,24,4,96,0
6,23,16,4,28,8,9,5,1,0,0
13,58,26,8,71,27,16,13,0,0,0
38,67,60,26,94,40,28,12,1,3,1
14,18,18,8,35,14,15,8,1,0,0
18,81,66,7,64,30,31,33,2,23,1
6,41,22,2,16,7,16,16,3,15,1
10,53,47,6,50,19,22,13,1,14,1
31,59,44,31,63,38,28,10,1,2,1
7,43,31,1,30,13,18,21,2,13,1
17,72,120,8,74,28,41,56,4,23,1
0,3,8,0,7,3,0,0,0,1,1
13,76,109,7,83,30,39,30,0,31,1
6,130,0,0,1,2,7,31,0,108,1
13,83,95,4,69,19,39,40,2,40,1
11,70,64,11,50,9,37,37,2,6,1
9,35,40,9,38,16,15,15,2,3,1
30,80,27,17,73,49,33,16,3,0,1
9,75,53,9,54,18,25,35,0,19,1
2,28,22,3,20,7,12,10,0,7,1
47,189,172,37,188,86,100,53,3,28,1
13,47,65,27,62,20,24,12,1,4,1
3,6,13,4,9,6,7,1,0,0,0
3,26,16,4,18,8,16,7,1,2,0
14,69,72,6,62,29,38,21,1,13,1
11,40,50,20,47,25,19,10,0,5,1
27,100,83,26,120,43,34,19,0,3,1
6,10,11,2,14,8,4,5,0,0,0
2,21,18,1,8,5,9,9,0,16,1
1,10,8,0,6,2,5,6,0,5,1
1,9,5,0,3,2,4,2,0,9,1
1,16,9,0,6,1,6,6,0,8,0
1,15,12,0,10,2,5,4,1,13,0
44,206,123,15,126,59,73,71,8,86,1
56,64,45,27,113,48,47,11,2,0,1
8,36,28,4,29,18,12,15,0,9,1
4,21,25,2,23,8,7,2,0,3,1
14,83,71,13,65,37,26,30,2,31,1
2,19,10,1,8,5,7,10,1,2,0
12,45,14,2,22,15,25,10,3,4,1
0,6,6,1,5,2,0,3,1,2,1
12,61,82,2,51,12,41,36,1,24,1
1,16,18,2,15,6,9,9,0,5,1
3,61,30,2,14,8,24,21,1,44,1
0,2,1,0,1,0,0,1,0,1,0
2,38,24,1,13,4,12,18,1,27,1
1,8,3,0,3,1,0,3,0,3,0
16,96,75,5,60,23,41,40,1,40,1
2,26,26,5,26,6,13,6,1,4,1
3,26,39,5,42,8,14,5,0,1,1
0,0,0,0,0,0,0,0,0,0,0
29,204,24,2,30,27,51,65,6,103,1
33,34,28,3,20,21,30,27,2,9,0
0,3,4,0,5,1,0,1,0,0,1
3,17,23,1,11,7,11,6,1,14,1
3,24,19,0,11,6,17,8,0,17,1
1,19,10,0,7,4,6,5,0,16,1
0,15,7,0,4,2,3,9,0,11,1
1,15,8,0,5,3,8,6,0,13,1
1,22,18,0,10,5,17,8,0,14,0
0,27,13,0,5,2,5,9,0,21,1
2,23,34,0,17,7,12,12,0,17,1
1,30,23,0,7,8,12,12,1,23,1
9,19,18,4,23,9,13,6,0,4,1
1,16,7,0,2,5,7,9,0,9,1
3,28,29,6,20,8,8,8,0,11,1
5,47,41,0,33,10,21,21,2,12,1
15,86,97,8,74,29,54,39,2,31,1
3,32,41,2,38,11,15,13,2,10,1
11,58,82,11,66,26,36,12,0,20,1
4,27,37,2,29,5,15,15,0,9,1
17,95,69,7,71,43,42,27,2,12,0
10,28,18,1,30,9,15,4,0,4,1
9,29,11,4,15,17,21,3,0,6,0
14,50,51,7,62,21,28,12,1,10,1
2,6,5,1,7,5,0,1,0,1,1
10,34,32,4,33,5,17,16,4,3,1
10,26,27,3,32,10,16,8,0,2,1
6,29,17,3,37,13,13,4,0,1,1
0,0,0,0,0,0,0,0,0,0,0
6,59,61,7,53,21,37,19,0,10,1
0,25,36,0,20,6,14,15,1,11,1
6,21,45,3,26,11,10,15,1,11,1
2,13,15,2,17,4,6,4,1,2,0
24,118,150,16,124,56,62,42,2,25,1
1,28,25,2,19,6,7,12,0,7,1
42,217,222,45,221,61,97,86,4,51,1
13,71,60,2,22,6,40,38,0,60,1
6,114,29,0,18,10,25,47,5,75,1
38,291,248,27,197,52,100,122,8,138,1
21,77,100,15,82,22,35,36,1,24,1
32,98,62,12,94,38,39,24,0,16,1
26,176,100,6,62,27,61,82,9,111,1
22,187,226,5,97,57,92,102,6,136,1
27,295,234,17,160,53,85,120,9,181,1
16,111,121,3,72,33,44,54,3,62,1
4,36,49,3,29,6,12,16,1,26,1
27,199,181,22,130,35,92,78,3,80,1
5,101,41,0,17,9,25,34,0,93,1
21,113,131,8,92,23,48,62,3,46,1
6,79,64,1,33,10,24,22,4,64,1
28,185,208,12,142,57,71,99,3,80,1
0,1,4,0,3,0,1,0,0,1,1
1,37,37,3,13,5,7,11,0,48,1
6,110,115,3,58,15,32,57,1,94,1
1,22,39,0,7,3,8,15,2,36,1
8,61,68,6,59,15,23,18,3,19,1
6,33,41,3,31,4,11,18,0,15,1
2,12,34,4,22,3,7,8,2,3,1
15,160,188,4,76,35,69,83,3,142,1
23,284,175,17,114,44,106,127,3,180,1
